Q, Struc, DelStruc, M_Perp, DelM_Perp, M_Parl_NSF, DelM_Parl_NSF, M_Parl_NSFVert, DelM_Parl_NSFVert, M_Parl_SF, DelM_Parl_SF, Q_Unc, Q_mean, Shadow
9.4609e-02 1.5199e+00 2.9913e-03 2.3719e-02 5.8382e-04 3.2821e-02 3.3143e-04 3.3886e-02 3.4227e-04 3.4633e-02 6.6700e-04 3.4095e-03 9.5401e-02 1.0000e+00
9.6103e-02 1.3430e+00 3.7921e-03 2.3058e-02 7.1154e-04 3.0059e-02 3.7155e-04 3.0508e-02 3.7702e-04 3.8212e-02 7.7576e-04 3.6145e-03 9.6782e-02 1.0000e+00
9.7596e-02 1.1512e+00 2.4087e-03 2.4194e-02 4.8599e-04 2.4467e-02 2.5165e-04 2.5283e-02 2.6007e-04 3.5741e-02 5.6991e-04 3.2445e-03 9.8299e-02 1.0000e+00
9.9090e-02 9.4458e-01 2.7302e-03 2.7728e-02 5.5365e-04 2.0703e-02 2.6462e-04 2.1038e-02 2.6885e-04 3.2732e-02 6.1676e-04 3.4027e-03 9.9907e-02 1.0000e+00
1.0058e-01 8.4887e-01 2.4321e-03 2.6762e-02 5.5303e-04 1.9160e-02 2.8725e-04 1.9598e-02 2.9391e-04 3.1401e-02 6.1415e-04 3.5093e-03 1.0127e-01 1.0000e+00
1.0208e-01 6.9315e-01 1.9907e-03 2.6075e-02 4.4347e-04 1.5746e-02 2.0338e-04 1.5769e-02 2.0367e-04 2.9528e-02 5.1141e-04 3.2316e-03 1.0281e-01 1.0000e+00
1.0357e-01 6.0912e-01 2.4602e-03 2.8667e-02 5.2875e-04 1.2033e-02 1.9380e-04 1.2760e-02 2.0539e-04 2.9482e-02 5.8215e-04 3.3793e-03 1.0435e-01 1.0000e+00
1.0506e-01 5.0164e-01 1.5933e-03 2.8249e-02 4.5896e-04 1.1052e-02 2.1542e-04 1.1058e-02 2.1564e-04 2.8716e-02 5.1402e-04 3.3550e-03 1.0576e-01 1.0000e+00
1.0656e-01 4.3361e-01 1.8991e-03 2.6344e-02 4.4872e-04 9.8821e-03 1.6556e-04 9.8506e-03 1.6491e-04 2.8305e-02 5.0193e-04 3.2333e-03 1.0731e-01 1.0000e+00
1.0805e-01 3.7903e-01 1.5574e-03 2.8777e-02 4.2783e-04 7.1129e-03 1.5344e-04 7.2509e-03 1.5643e-04 2.9054e-02 4.8322e-04 3.3011e-03 1.0881e-01 1.0000e+00
1.0954e-01 3.2083e-01 1.4050e-03 2.8305e-02 4.2467e-04 8.0814e-03 1.8110e-04 7.6675e-03 1.7186e-04 2.9103e-02 4.7562e-04 3.3249e-03 1.1026e-01 1.0000e+00
1.1104e-01 2.8575e-01 1.6262e-03 2.9411e-02 4.3930e-04 6.4172e-03 1.3875e-04 6.1131e-03 1.3206e-04 2.8770e-02 4.8722e-04 3.2279e-03 1.1174e-01 1.0000e+00
1.1253e-01 2.6626e-01 1.1804e-03 2.8862e-02 3.8119e-04 5.9979e-03 1.4134e-04 6.0740e-03 1.4318e-04 2.9482e-02 4.3253e-04 3.1858e-03 1.1329e-01 1.0000e+00
1.1403e-01 2.4443e-01 1.3998e-03 3.0115e-02 4.2888e-04 4.9892e-03 1.3480e-04 5.0320e-03 1.3595e-04 2.7171e-02 4.7452e-04 3.3347e-03 1.1472e-01 1.0000e+00
1.1552e-01 2.2986e-01 1.1590e-03 2.6714e-02 3.6518e-04 5.5729e-03 1.2887e-04 5.3566e-03 1.2385e-04 2.8116e-02 4.1510e-04 3.1008e-03 1.1621e-01 1.0000e+00
1.1701e-01 2.1968e-01 1.1901e-03 2.7685e-02 3.7961e-04 4.3317e-03 1.1916e-04 4.2010e-03 1.1556e-04 2.7978e-02 4.2730e-04 3.1604e-03 1.1781e-01 1.0000e+00
1.1851e-01 2.0378e-01 1.2798e-03 2.9498e-02 4.2112e-04 4.1440e-03 1.2914e-04 3.8831e-03 1.2100e-04 2.9332e-02 4.6203e-04 3.3052e-03 1.1919e-01 1.0000e+00
1.2000e-01 1.9767e-01 1.0234e-03 3.1163e-02 3.5256e-04 4.0377e-03 1.0920e-04 3.8414e-03 1.0389e-04 2.9041e-02 4.0477e-04 3.0169e-03 1.2073e-01 1.0000e+00
