Q 0.06V_300.0K Unc 0.187V_300.0K Unc 7.4V_300.0K Unc CoFe2O4NPs3V_0.071V_300.0K Unc 0.0V_300.0K Unc 
9.4946e-02 8.2269e-03 3.7322e-04 7.2297e-03 3.6903e-04 8.6520e-03 3.7211e-04 1.0034e-02 3.7425e-04 7.9723e-03 3.6427e-04
9.6199e-02 1.1006e-02 3.6745e-04 9.9458e-03 3.6261e-04 9.7968e-03 3.6265e-04 1.2339e-02 3.7886e-04 1.0686e-02 3.6153e-04
9.7452e-02 1.2008e-02 3.7088e-04 9.5946e-03 3.6070e-04 1.0903e-02 3.6457e-04 9.4039e-03 3.6067e-04 1.0198e-02 3.5785e-04
9.8704e-02 1.0099e-02 3.5972e-04 9.7733e-03 3.5608e-04 8.9926e-03 3.5508e-04 1.0125e-02 3.6479e-04 9.5386e-03 3.5418e-04
9.9957e-02 9.9201e-03 3.6809e-04 8.7800e-03 3.6151e-04 7.4381e-03 3.5923e-04 9.4997e-03 3.6391e-04 8.7408e-03 3.5826e-04
1.0121e-01 1.0245e-02 3.6030e-04 1.1223e-02 3.6022e-04 1.3042e-02 3.6398e-04 1.3273e-02 3.5918e-04 1.0686e-02 3.5679e-04
1.0246e-01 1.2010e-02 3.4711e-04 1.1457e-02 3.4458e-04 1.2772e-02 3.4607e-04 1.4307e-02 3.5940e-04 1.1982e-02 3.4122e-04
1.0372e-01 1.3114e-02 3.5848e-04 1.3913e-02 3.5508e-04 1.4278e-02 3.5792e-04 1.6630e-02 3.6598e-04 1.1546e-02 3.4836e-04
1.0497e-01 1.2348e-02 3.5233e-04 1.3508e-02 3.5164e-04 1.1804e-02 3.4817e-04 1.4700e-02 3.5763e-04 1.1342e-02 3.4360e-04
1.0622e-01 1.2638e-02 3.5361e-04 1.2485e-02 3.5054e-04 1.4771e-02 3.5238e-04 1.5891e-02 3.5985e-04 1.2464e-02 3.4523e-04
1.0747e-01 1.1792e-02 3.5999e-04 1.1914e-02 3.5730e-04 1.2189e-02 3.5639e-04 1.3404e-02 3.5963e-04 1.2612e-02 3.5485e-04
1.0873e-01 1.5069e-02 3.4385e-04 1.5529e-02 3.4213e-04 1.6228e-02 3.4062e-04 1.9177e-02 3.4925e-04 1.5904e-02 3.3974e-04
1.0998e-01 1.6510e-02 3.4757e-04 1.4728e-02 3.4020e-04 1.7608e-02 3.4613e-04 1.8919e-02 3.5461e-04 1.6127e-02 3.3924e-04
1.1123e-01 1.6537e-02 3.3364e-04 1.6770e-02 3.3243e-04 1.8635e-02 3.3534e-04 2.0121e-02 3.4308e-04 1.8688e-02 3.3112e-04
1.1248e-01 1.5444e-02 3.4402e-04 1.4584e-02 3.3977e-04 1.6082e-02 3.4090e-04 1.5979e-02 3.4842e-04 1.5189e-02 3.3581e-04
1.1374e-01 1.4022e-02 3.4395e-04 1.3046e-02 3.3997e-04 1.6200e-02 3.4272e-04 1.5911e-02 3.4682e-04 1.4063e-02 3.3673e-04
1.1499e-01 1.4411e-02 3.3892e-04 1.2771e-02 3.3177e-04 1.5520e-02 3.3210e-04 1.5252e-02 3.3890e-04 1.2718e-02 3.2697e-04
1.1624e-01 1.4700e-02 3.4724e-04 1.3848e-02 3.4164e-04 1.5864e-02 3.4456e-04 1.5803e-02 3.4677e-04 1.4068e-02 3.3836e-04
1.1749e-01 1.4166e-02 3.3854e-04 1.2832e-02 3.3371e-04 1.4541e-02 3.3585e-04 1.4484e-02 3.4106e-04 1.4559e-02 3.3137e-04
1.1875e-01 1.3933e-02 3.3135e-04 1.4187e-02 3.2795e-04 1.2767e-02 3.2518e-04 1.3110e-02 3.2819e-04 1.3021e-02 3.2156e-04
1.2000e-01 1.2154e-02 3.3753e-04 1.3455e-02 3.3614e-04 1.1906e-02 3.3330e-04 1.1616e-02 3.3517e-04 1.3866e-02 3.3109e-04
