Q, Struc, DelStruc, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
4.2333e-02 4.4756e-02 2.9077e-03 -8.0039e-03 4.9039e-03 3.7596e-03 4.2968e-02 1.0000e+00
4.3586e-02 4.2611e-02 2.6664e-03 1.9236e-03 4.0138e-03 4.2071e-03 4.4125e-02 1.0000e+00
4.4839e-02 4.3431e-02 2.5108e-03 -6.1772e-03 3.7926e-03 4.7093e-03 4.5536e-02 1.0000e+00
4.6091e-02 3.8341e-02 2.6401e-03 -3.2271e-03 4.3268e-03 5.3431e-03 4.6669e-02 1.0000e+00
4.7344e-02 3.7849e-02 2.4213e-03 3.5371e-03 3.5796e-03 4.4852e-03 4.7932e-02 1.0000e+00
4.8597e-02 3.8076e-02 2.5906e-03 -2.2190e-04 3.8699e-03 4.6754e-03 4.9324e-02 1.0000e+00
4.9849e-02 3.8998e-02 2.2993e-03 1.9076e-03 4.0079e-03 4.8271e-03 5.0477e-02 1.0000e+00
5.1102e-02 3.8117e-02 2.3382e-03 -3.3819e-03 3.4643e-03 4.6196e-03 5.1779e-02 1.0000e+00
5.2355e-02 3.8053e-02 2.4689e-03 2.1073e-03 3.8019e-03 4.7966e-03 5.2970e-02 1.0000e+00
5.3608e-02 4.0764e-02 2.1596e-03 -4.3569e-03 3.5539e-03 4.4619e-03 5.4180e-02 1.0000e+00
5.4860e-02 4.2599e-02 2.2364e-03 -3.5475e-04 3.4518e-03 4.5663e-03 5.5503e-02 1.0000e+00
5.6113e-02 4.5412e-02 2.2023e-03 -2.2534e-03 3.7790e-03 4.5399e-03 5.6719e-02 1.0000e+00
5.7366e-02 4.8073e-02 2.3962e-03 1.4030e-03 3.5334e-03 4.3663e-03 5.7993e-02 1.0000e+00
5.8618e-02 5.1801e-02 2.3246e-03 8.3748e-04 3.4879e-03 4.4390e-03 5.9273e-02 1.0000e+00
5.9871e-02 6.3443e-02 2.3291e-03 -7.3209e-03 3.8051e-03 4.4393e-03 6.0516e-02 1.0000e+00
6.1124e-02 6.8985e-02 2.6473e-03 -6.4321e-03 3.8507e-03 4.4400e-03 6.1705e-02 1.0000e+00
6.2376e-02 8.0070e-02 2.3780e-03 -3.7460e-03 3.6940e-03 4.2337e-03 6.2973e-02 1.0000e+00
6.3629e-02 9.3086e-02 2.5660e-03 -6.3476e-03 4.2910e-03 4.3686e-03 6.4235e-02 1.0000e+00
6.4882e-02 1.0503e-01 2.5916e-03 -6.7894e-04 4.1103e-03 4.1517e-03 6.5470e-02 1.0000e+00
6.6134e-02 1.1398e-01 2.3869e-03 2.1072e-03 4.1345e-03 4.1522e-03 6.6830e-02 1.0000e+00
6.7387e-02 1.1429e-01 2.8124e-03 1.1432e-02 4.6736e-03 4.4424e-03 6.7985e-02 1.0000e+00
6.8640e-02 1.1752e-01 2.3701e-03 5.4101e-03 3.8764e-03 3.8968e-03 6.9279e-02 1.0000e+00
6.9892e-02 1.2115e-01 2.7790e-03 8.2067e-04 4.4475e-03 4.4685e-03 7.0573e-02 1.0000e+00
7.1145e-02 1.0828e-01 2.4543e-03 6.8813e-03 4.3502e-03 4.0197e-03 7.1683e-02 1.0000e+00
7.2398e-02 1.0506e-01 2.3894e-03 7.2431e-03 3.8173e-03 3.9493e-03 7.3068e-02 1.0000e+00
7.3651e-02 9.5203e-02 2.4545e-03 1.7892e-02 4.4723e-03 4.3964e-03 7.4230e-02 1.0000e+00
7.4903e-02 8.1180e-02 2.1101e-03 6.0448e-03 3.5396e-03 3.7575e-03 7.5479e-02 1.0000e+00
7.6156e-02 7.1484e-02 2.1822e-03 3.3526e-03 3.4106e-03 4.0405e-03 7.6844e-02 1.0000e+00
7.7409e-02 6.0264e-02 2.0334e-03 6.3163e-03 3.6009e-03 4.0975e-03 7.7992e-02 1.0000e+00
7.8661e-02 5.2335e-02 1.8807e-03 4.0649e-03 3.0734e-03 3.8681e-03 7.9258e-02 1.0000e+00
7.9914e-02 4.5530e-02 1.8940e-03 2.5576e-03 2.8682e-03 3.8686e-03 8.0551e-02 1.0000e+00
8.1167e-02 3.3434e-02 1.8213e-03 3.7313e-03 3.0583e-03 3.9355e-03 8.1799e-02 1.0000e+00
8.2419e-02 3.1014e-02 1.7311e-03 1.0134e-04 2.6610e-03 3.9195e-03 8.3035e-02 1.0000e+00
8.3672e-02 2.5123e-02 1.6658e-03 1.9297e-03 2.5473e-03 3.7028e-03 8.4315e-02 1.0000e+00
8.4925e-02 2.2274e-02 1.5154e-03 -1.2610e-03 2.5846e-03 3.9721e-03 8.5565e-02 1.0000e+00
8.6177e-02 1.5892e-02 1.5079e-03 1.0815e-03 2.3385e-03 3.8080e-03 8.6746e-02 1.0000e+00
8.7430e-02 1.5768e-02 1.4719e-03 -1.7216e-03 2.2850e-03 3.6487e-03 8.8082e-02 1.0000e+00
8.8683e-02 1.0237e-02 1.5454e-03 1.9100e-03 2.4415e-03 3.8725e-03 8.9291e-02 1.0000e+00
8.9935e-02 1.0090e-02 1.4923e-03 -8.5124e-04 2.1814e-03 3.6636e-03 9.0556e-02 1.0000e+00
9.1188e-02 9.2463e-03 1.4856e-03 -2.6503e-03 2.3020e-03 3.7204e-03 9.1853e-02 1.0000e+00
9.2441e-02 9.0494e-03 1.3941e-03 7.1161e-04 2.2185e-03 3.8110e-03 9.2990e-02 1.0000e+00
9.3694e-02 8.1331e-03 1.4497e-03 -8.7435e-04 2.1560e-03 3.5855e-03 9.4305e-02 1.0000e+00
9.4946e-02 8.6802e-03 1.3054e-03 -3.5057e-04 2.1998e-03 3.8275e-03 9.5489e-02 1.0000e+00
9.6199e-02 7.0871e-03 1.4215e-03 2.3356e-03 2.1624e-03 3.4186e-03 9.6761e-02 1.0000e+00
9.7452e-02 6.7469e-03 1.4683e-03 1.5190e-03 2.1185e-03 3.6537e-03 9.8123e-02 1.0000e+00
9.8704e-02 6.1926e-03 1.4167e-03 3.0635e-03 2.2812e-03 3.5747e-03 9.9304e-02 1.0000e+00
9.9957e-02 9.3622e-03 1.2987e-03 -1.1220e-03 2.1049e-03 3.4778e-03 1.0063e-01 1.0000e+00
1.0121e-01 9.2467e-03 1.3630e-03 5.6261e-04 2.0910e-03 3.7849e-03 1.0184e-01 1.0000e+00
1.0246e-01 7.3892e-03 1.4318e-03 1.7752e-03 2.2195e-03 3.4213e-03 1.0303e-01 1.0000e+00
1.0372e-01 1.1072e-02 1.3175e-03 -2.9851e-04 2.0989e-03 3.5525e-03 1.0433e-01 1.0000e+00
1.0497e-01 1.1105e-02 1.3350e-03 -2.1292e-03 2.1236e-03 3.4454e-03 1.0559e-01 1.0000e+00
1.0622e-01 9.9126e-03 1.3367e-03 -2.6441e-04 2.2801e-03 3.4459e-03 1.0686e-01 1.0000e+00
1.0747e-01 9.9209e-03 1.3613e-03 2.1610e-03 2.0563e-03 3.4935e-03 1.0812e-01 1.0000e+00
1.0873e-01 1.1183e-02 1.3060e-03 4.9278e-04 2.1462e-03 3.4246e-03 1.0939e-01 1.0000e+00
1.0998e-01 1.1529e-02 1.3220e-03 3.6814e-03 2.1991e-03 3.4828e-03 1.1059e-01 1.0000e+00
1.1123e-01 1.0139e-02 1.3755e-03 2.7087e-03 2.0956e-03 3.3716e-03 1.1185e-01 1.0000e+00
1.1248e-01 1.2220e-02 1.3502e-03 7.6319e-05 2.1715e-03 3.5197e-03 1.1310e-01 1.0000e+00
1.1374e-01 1.0764e-02 1.3556e-03 7.6168e-04 2.2685e-03 3.3207e-03 1.1427e-01 1.0000e+00
1.1499e-01 1.2547e-02 1.2630e-03 1.2128e-03 1.9976e-03 3.2428e-03 1.1564e-01 1.0000e+00
1.1624e-01 1.0928e-02 1.3856e-03 5.2322e-03 2.2889e-03 3.5587e-03 1.1686e-01 1.0000e+00
1.1749e-01 1.3353e-02 1.2861e-03 8.0227e-04 2.0523e-03 3.1887e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.1826e-02 1.2142e-03 1.1014e-03 2.0136e-03 3.2834e-03 1.1944e-01 1.0000e+00
1.2000e-01 1.0909e-02 1.2822e-03 1.6052e-03 2.1771e-03 3.4881e-03 1.2058e-01 1.0000e+00
