Q, Struc, DelStruc, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
1.0747e-01 6.0561e+07 2.4391e+07 6.1140e+07 4.1603e+07 2.6475e-03 1.0805e-01 1.0000e+00
1.0873e-01 1.2624e+08 3.7098e+07 -5.8772e+07 4.6207e+07 2.7579e-03 1.0938e-01 1.0000e+00
1.0998e-01 1.2007e+08 3.4226e+07 6.1356e+06 5.7193e+07 2.8436e-03 1.1056e-01 1.0000e+00
1.1123e-01 1.7637e+08 4.2279e+07 4.7845e+07 6.1848e+07 2.6236e-03 1.1182e-01 1.0000e+00
1.1248e-01 1.2899e+08 3.5349e+07 1.9707e+07 5.2480e+07 2.6865e-03 1.1315e-01 1.0000e+00
1.1374e-01 1.5674e+08 3.7875e+07 1.1799e+07 6.1475e+07 2.8015e-03 1.1435e-01 1.0000e+00
1.1499e-01 1.8149e+08 4.2338e+07 -2.3565e+07 5.6785e+07 2.6202e-03 1.1559e-01 1.0000e+00
1.1624e-01 1.6634e+08 3.8134e+07 -1.0626e+07 5.6055e+07 2.6827e-03 1.1689e-01 1.0000e+00
1.1749e-01 1.9057e+08 4.3334e+07 8.5562e+07 7.3475e+07 2.7614e-03 1.1806e-01 1.0000e+00
1.1875e-01 1.2310e+08 3.3876e+07 -1.3670e+06 4.6107e+07 2.5315e-03 1.1935e-01 1.0000e+00
1.2000e-01 1.2288e+08 3.2865e+07 1.2077e+08 6.0368e+07 2.6579e-03 1.2068e-01 1.0000e+00
