Q, Struc, DelStruc, M_Perp, DelM_Perp, M_Parl_NSF, DelM_Parl_NSF, M_Parl_NSFVert, DelM_Parl_NSFVert, M_Parl_SF, DelM_Parl_SF, Q_Unc, Q_mean, Shadow
4.9849e-02 3.4350e-02 9.1071e-04 2.1738e-02 9.2007e-04 1.1607e-04 5.5479e-05 1.0007e-04 4.7834e-05 1.6771e-02 1.0324e-03 4.8271e-03 5.0477e-02 1.0000e+00
5.1102e-02 3.3910e-02 8.7958e-04 1.9849e-02 7.2373e-04 3.9415e-05 2.3998e-05 3.2777e-05 1.9957e-05 1.9077e-02 8.4271e-04 4.6196e-03 5.1779e-02 1.0000e+00
5.2355e-02 4.3267e-02 9.2547e-04 1.2486e-02 7.7679e-04 4.7090e-06 8.5853e-06 4.3828e-06 7.9906e-06 1.5547e-02 8.8170e-04 4.7966e-03 5.2970e-02 1.0000e+00
5.3608e-02 3.7938e-02 9.0168e-04 1.3808e-02 8.4153e-04 7.3876e-05 3.6837e-05 6.2163e-05 3.0997e-05 1.8904e-02 9.3996e-04 4.4619e-03 5.4180e-02 1.0000e+00
5.4860e-02 4.3125e-02 9.0753e-04 1.5073e-02 6.7158e-04 2.2374e-05 1.7090e-05 2.1639e-05 1.6529e-05 1.2959e-02 7.9787e-04 4.5663e-03 5.5503e-02 1.0000e+00
5.6113e-02 4.2102e-02 8.6951e-04 1.9357e-02 7.3295e-04 1.1718e-04 4.7968e-05 1.0183e-04 4.1689e-05 1.4057e-02 8.3225e-04 4.5399e-03 5.6719e-02 1.0000e+00
5.7366e-02 5.4117e-02 8.9405e-04 9.3082e-03 7.4266e-04 6.9984e-06 8.6526e-06 8.1008e-06 1.0016e-05 1.4856e-03 8.5884e-04 4.3663e-03 5.7993e-02 1.0000e+00
5.8618e-02 6.2323e-02 9.1064e-04 1.5400e-02 6.3218e-04 1.3131e-04 3.5623e-05 1.4454e-04 3.9215e-05 7.2328e-03 7.5533e-04 4.4390e-03 5.9273e-02 1.0000e+00
5.9871e-02 7.8500e-02 8.3279e-04 9.3932e-03 6.8258e-04 2.6780e-05 1.6410e-05 3.4925e-05 2.1402e-05 9.4556e-03 7.8065e-04 4.4393e-03 6.0516e-02 1.0000e+00
6.1124e-02 8.5129e-02 1.1456e-03 1.3319e-02 6.6306e-04 3.2334e-04 4.9787e-05 3.5802e-04 5.5130e-05 9.1417e-03 7.5770e-04 4.4400e-03 6.1705e-02 1.0000e+00
6.2376e-02 1.0627e-01 9.2951e-04 1.2611e-02 6.7532e-04 9.6682e-06 8.1457e-06 1.0806e-05 9.1041e-06 6.4085e-03 7.7230e-04 4.2337e-03 6.2973e-02 1.0000e+00
6.3629e-02 1.1611e-01 1.0373e-03 9.8438e-03 6.4982e-04 9.7127e-05 2.8950e-05 1.0947e-04 3.2631e-05 3.7042e-03 7.4600e-04 4.3686e-03 6.4235e-02 1.0000e+00
6.4882e-02 1.1946e-01 1.0534e-03 2.7755e-03 6.9166e-04 1.5333e-04 3.2663e-05 1.6294e-04 3.4713e-05 7.0514e-03 7.8266e-04 4.1517e-03 6.5470e-02 1.0000e+00
6.6134e-02 1.3300e-01 1.0232e-03 4.5271e-03 6.7945e-04 1.2105e-04 3.0049e-05 1.1378e-04 2.8243e-05 8.0261e-03 7.6403e-04 4.1522e-03 6.6830e-02 1.0000e+00
6.7387e-02 1.4773e-01 1.1546e-03 9.1052e-03 6.8874e-04 3.3488e-04 5.1280e-05 3.3999e-04 5.2066e-05 1.4333e-03 7.7811e-04 4.4424e-03 6.7985e-02 1.0000e+00
6.8640e-02 1.4711e-01 9.6116e-04 6.9767e-03 6.0661e-04 1.3029e-04 2.6566e-05 1.3338e-04 2.7197e-05 2.0092e-03 7.0067e-04 3.8968e-03 6.9279e-02 1.0000e+00
6.9892e-02 1.3585e-01 1.1094e-03 4.3276e-03 6.3352e-04 3.5990e-04 5.3211e-05 3.3250e-04 4.9161e-05 -3.7997e-04 7.2893e-04 4.4685e-03 7.0573e-02 1.0000e+00
7.1145e-02 1.2512e-01 1.0126e-03 1.0187e-02 6.5089e-04 7.9644e-04 7.9664e-05 7.2001e-04 7.2028e-05 1.2114e-04 7.3376e-04 4.0197e-03 7.1683e-02 1.0000e+00
7.2398e-02 1.1815e-01 9.6721e-04 9.6077e-03 5.7585e-04 3.3477e-04 4.4989e-05 3.0888e-04 4.1511e-05 -1.4471e-03 6.7109e-04 3.9493e-03 7.3068e-02 1.0000e+00
7.3651e-02 1.1044e-01 1.0062e-03 5.1505e-03 6.3516e-04 1.7255e-05 1.3066e-05 1.6617e-05 1.2583e-05 -2.0393e-03 7.2980e-04 4.3964e-03 7.4230e-02 1.0000e+00
