Q, Struc, DelStruc, M_Parl_Div, DelM_Parl_Div, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
8.4925e-02 2.1707e-02 1.2566e-03 9.1431e-07 5.7668e-06 -1.1141e-03 2.1842e-03 4.0819e-03 8.5549e-02 1.0000e+00
8.6177e-02 1.6940e-02 1.2514e-03 1.6700e-05 2.7785e-05 6.7352e-04 1.9569e-03 3.7184e-03 8.6725e-02 1.0000e+00
8.7430e-02 1.3898e-02 1.1495e-03 5.7496e-06 1.6533e-05 -2.1901e-03 1.8572e-03 3.6086e-03 8.8103e-02 1.0000e+00
8.8683e-02 1.3504e-02 1.1560e-03 7.3661e-07 6.0370e-06 -2.2159e-03 1.9294e-03 3.9565e-03 8.9312e-02 1.0000e+00
8.9935e-02 1.1349e-02 1.0913e-03 7.4886e-05 6.2710e-05 -1.5383e-03 1.6931e-03 3.5838e-03 9.0570e-02 1.0000e+00
9.1188e-02 1.2461e-02 1.0892e-03 2.8933e-05 3.7118e-05 -1.5664e-03 1.7142e-03 3.7498e-03 9.1894e-02 1.0000e+00
9.2441e-02 1.0342e-02 1.1052e-03 5.7984e-08 1.8503e-06 1.9707e-03 1.7946e-03 3.8421e-03 9.3014e-02 1.0000e+00
9.3694e-02 1.0738e-02 1.0397e-03 3.5520e-05 4.2292e-05 -1.1831e-03 1.6343e-03 3.5727e-03 9.4313e-02 1.0000e+00
9.4946e-02 6.5871e-03 1.0871e-03 1.0261e-05 3.0342e-05 1.6066e-03 1.7649e-03 3.7223e-03 9.5554e-02 1.0000e+00
9.6199e-02 9.3994e-03 1.0345e-03 2.1197e-06 1.0986e-05 -1.5486e-03 1.7142e-03 3.5738e-03 9.6767e-02 1.0000e+00
9.7452e-02 8.4094e-03 1.0691e-03 3.4998e-05 4.8780e-05 -4.4076e-04 1.6494e-03 3.6003e-03 9.8095e-02 1.0000e+00
9.8704e-02 1.2393e-02 1.0061e-03 5.4807e-07 4.7310e-06 -6.8132e-03 1.8034e-03 3.6676e-03 9.9282e-02 1.0000e+00
9.9957e-02 8.1915e-03 1.0410e-03 2.9496e-05 4.4181e-05 4.4881e-04 1.6091e-03 3.4205e-03 1.0058e-01 1.0000e+00
1.0121e-01 8.2352e-03 1.0544e-03 8.3340e-06 2.3720e-05 1.3669e-03 1.6356e-03 3.6286e-03 1.0187e-01 1.0000e+00
1.0246e-01 9.5327e-03 1.0428e-03 7.0346e-07 6.3344e-06 3.8891e-03 1.8296e-03 3.5766e-03 1.0306e-01 1.0000e+00
1.0372e-01 1.3287e-02 1.0796e-03 1.5222e-06 8.1708e-06 -2.9591e-03 1.6095e-03 3.5526e-03 1.0429e-01 1.0000e+00
1.0497e-01 1.1683e-02 1.0520e-03 2.9291e-07 3.7248e-06 -1.2504e-03 1.6738e-03 3.4228e-03 1.0556e-01 1.0000e+00
1.0622e-01 1.3157e-02 1.0085e-03 3.8844e-06 1.2254e-05 -1.3768e-03 1.7807e-03 3.4805e-03 1.0683e-01 1.0000e+00
1.0747e-01 1.1725e-02 1.0440e-03 9.5207e-07 6.6521e-06 4.0045e-04 1.6078e-03 3.4132e-03 1.0810e-01 1.0000e+00
1.0873e-01 1.3857e-02 9.9426e-04 1.4598e-06 7.2159e-06 -2.4601e-03 1.6380e-03 3.3808e-03 1.0942e-01 1.0000e+00
1.0998e-01 1.2588e-02 1.0712e-03 4.3617e-06 1.4100e-05 -4.1758e-05 1.7670e-03 3.5681e-03 1.1062e-01 1.0000e+00
1.1123e-01 1.3299e-02 1.0433e-03 7.1337e-06 1.7086e-05 -1.9011e-03 1.5988e-03 3.3610e-03 1.1184e-01 1.0000e+00
1.1248e-01 1.2254e-02 1.0415e-03 2.4494e-06 1.0412e-05 2.0271e-03 1.7443e-03 3.5079e-03 1.1311e-01 1.0000e+00
1.1374e-01 1.4038e-02 1.0117e-03 9.1910e-05 5.7909e-05 1.4426e-04 1.7031e-03 3.3620e-03 1.1426e-01 1.0000e+00
1.1499e-01 1.0854e-02 9.8759e-04 9.0963e-06 2.0217e-05 2.6114e-03 1.5867e-03 3.2428e-03 1.1561e-01 1.0000e+00
1.1624e-01 1.0128e-02 1.0490e-03 1.0673e-05 2.4080e-05 -8.9827e-04 1.7222e-03 3.4513e-03 1.1688e-01 1.0000e+00
1.1749e-01 1.0835e-02 1.0024e-03 9.1580e-06 2.0607e-05 3.9737e-03 1.6449e-03 3.2826e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.0809e-02 9.8602e-04 7.5705e-07 5.8351e-06 5.1313e-03 1.5895e-03 3.2736e-03 1.1941e-01 1.0000e+00
1.2000e-01 1.1604e-02 9.7765e-04 3.1845e-05 3.6221e-05 4.1254e-03 1.7940e-03 3.4762e-03 1.2058e-01 1.0000e+00
