Q, Struc, DelStruc, M_Perp, DelM_Perp, M_Parl_NSF, DelM_Parl_NSF, M_Parl_NSFVert, DelM_Parl_NSFVert, M_Parl_SF, DelM_Parl_SF, Q_Unc, Q_mean, Shadow
6.9892e-02 1.3286e-01 1.0809e-03 6.0859e-03 6.4616e-04 9.0561e-05 2.5225e-05 8.3511e-05 2.3262e-05 -1.8355e-03 7.4216e-04 4.3025e-03 7.0586e-02 1.0000e+00
7.1145e-02 1.3784e-01 1.0628e-03 1.0246e-02 6.7061e-04 1.2684e-04 3.2219e-05 1.1749e-04 2.9846e-05 -5.8846e-04 7.5635e-04 4.1744e-03 7.1689e-02 1.0000e+00
7.2398e-02 1.2724e-01 9.6374e-04 1.0147e-02 5.8933e-04 6.4514e-05 1.9599e-05 6.0086e-05 1.8254e-05 -2.9455e-03 6.8584e-04 3.9150e-03 7.3028e-02 1.0000e+00
7.3651e-02 1.1320e-01 1.0303e-03 4.4135e-03 6.2522e-04 3.4682e-05 1.5367e-05 3.3157e-05 1.4692e-05 -2.8204e-03 7.2500e-04 4.1756e-03 7.4287e-02 1.0000e+00
7.4903e-02 9.9070e-02 8.3441e-04 2.4425e-03 6.8012e-04 1.3584e-04 3.2699e-05 1.2397e-04 2.9845e-05 8.2228e-03 7.5403e-04 3.9159e-03 7.5517e-02 1.0000e+00
7.6156e-02 8.4547e-02 9.2455e-04 9.1076e-03 5.6983e-04 8.4000e-05 2.3191e-05 7.9531e-05 2.1957e-05 1.3368e-03 6.5362e-04 4.0039e-03 7.6838e-02 1.0000e+00
7.7409e-02 7.3122e-02 8.0222e-04 6.9430e-03 6.2193e-04 3.8497e-05 1.8699e-05 3.7840e-05 1.8380e-05 4.0461e-03 6.9793e-04 4.0975e-03 7.8019e-02 1.0000e+00
7.8661e-02 5.7691e-02 7.5976e-04 5.5575e-03 6.1854e-04 1.8274e-05 1.2687e-05 1.5487e-05 1.0753e-05 1.5704e-03 6.9760e-04 3.9519e-03 7.9233e-02 1.0000e+00
7.9914e-02 4.2674e-02 8.0387e-04 5.3731e-03 5.6697e-04 1.2232e-03 1.0898e-04 1.0425e-03 9.2871e-05 -1.1221e-03 6.5320e-04 3.7897e-03 8.0527e-02 1.0000e+00
8.1167e-02 4.3128e-02 7.4342e-04 4.2987e-03 6.2497e-04 8.7190e-05 3.4243e-05 7.5409e-05 2.9617e-05 4.4763e-03 7.0020e-04 4.0239e-03 8.1788e-02 1.0000e+00
8.2419e-02 3.9566e-02 7.1145e-04 4.9111e-03 5.8489e-04 2.4414e-05 1.3991e-05 2.2813e-05 1.3073e-05 3.5050e-03 6.6862e-04 3.8377e-03 8.3008e-02 1.0000e+00
8.3672e-02 3.1638e-02 6.7676e-04 5.3047e-03 5.6545e-04 5.5131e-06 7.4228e-06 6.1989e-06 8.3462e-06 -3.2379e-03 6.4391e-04 3.7028e-03 8.4317e-02 1.0000e+00
8.4925e-02 2.7747e-02 6.3762e-04 4.4071e-03 6.5997e-04 2.3303e-07 1.8507e-06 2.4717e-07 1.9630e-06 -5.9496e-04 7.3489e-04 4.0819e-03 8.5549e-02 1.0000e+00
8.6177e-02 2.4574e-02 6.3313e-04 3.3988e-03 5.6966e-04 1.0223e-04 3.1604e-05 9.9964e-05 3.0905e-05 1.7411e-03 6.4592e-04 3.7184e-03 8.6725e-02 1.0000e+00
8.7430e-02 2.4516e-02 5.8096e-04 3.2203e-03 5.8018e-04 7.9397e-05 2.9285e-05 1.0034e-04 3.7015e-05 8.2916e-04 6.5646e-04 3.6086e-03 8.8103e-02 1.0000e+00
8.8683e-02 1.6070e-02 5.9519e-04 7.2235e-03 6.0193e-04 3.4891e-04 8.4971e-05 3.5713e-04 8.7032e-05 2.8825e-03 6.6935e-04 3.9565e-03 8.9312e-02 1.0000e+00
8.9935e-02 1.4963e-02 5.9591e-04 5.5198e-03 5.5838e-04 3.0969e-06 6.6253e-06 4.1079e-06 8.7883e-06 7.7133e-04 6.3377e-04 3.5838e-03 9.0570e-02 1.0000e+00
9.1188e-02 5.9312e-03 6.0913e-04 6.4991e-03 5.5773e-04 1.0083e-04 6.5311e-05 7.9029e-05 5.1183e-05 5.3262e-03 6.2818e-04 3.7498e-03 9.1894e-02 1.0000e+00
9.2441e-02 9.4848e-03 5.9998e-04 4.4373e-04 6.1286e-04 2.7347e-04 9.2826e-05 3.8187e-04 1.2993e-04 -1.8737e-04 6.8157e-04 3.8421e-03 9.3014e-02 1.0000e+00
9.3694e-02 1.2636e-02 5.6786e-04 5.0385e-03 5.4547e-04 1.8767e-04 5.5439e-05 1.8981e-04 5.6084e-05 2.0991e-03 6.1748e-04 3.5727e-03 9.4313e-02 1.0000e+00
9.4946e-02 5.7617e-03 6.0574e-04 5.2614e-03 5.7132e-04 9.4073e-07 6.5786e-06 5.7893e-07 4.0485e-06 2.3365e-03 6.3586e-04 3.7223e-03 9.5554e-02 1.0000e+00
9.6199e-02 9.9803e-03 5.6705e-04 6.0736e-03 5.9560e-04 2.5607e-05 2.5933e-05 1.7723e-05 1.7948e-05 -4.9933e-03 6.7141e-04 3.5738e-03 9.6767e-02 1.0000e+00
9.7452e-02 1.3761e-02 5.6801e-04 9.8928e-04 5.6198e-04 1.2885e-05 1.3326e-05 4.6623e-05 4.8253e-05 4.2522e-03 6.2512e-04 3.6003e-03 9.8095e-02 1.0000e+00
9.8704e-02 8.7581e-03 5.7114e-04 2.7536e-03 5.9631e-04 2.8308e-04 9.3520e-05 1.9607e-04 6.4759e-05 5.1851e-03 6.5730e-04 3.6676e-03 9.9282e-02 1.0000e+00
9.9957e-02 9.4092e-03 5.5294e-04 2.2232e-03 5.5120e-04 3.5634e-05 2.7826e-05 3.7496e-05 2.9282e-05 3.3789e-03 6.2127e-04 3.4205e-03 1.0058e-01 1.0000e+00
1.0121e-01 7.6195e-03 5.7477e-04 5.2067e-03 5.2622e-04 7.8943e-05 4.7012e-05 4.4167e-05 2.6294e-05 1.4390e-03 5.9351e-04 3.6286e-03 1.0187e-01 1.0000e+00
1.0246e-01 1.4119e-02 5.6024e-04 4.4574e-03 5.6865e-04 1.3636e-04 5.2077e-05 2.0873e-04 7.9800e-05 2.0716e-03 6.2997e-04 3.5766e-03 1.0306e-01 1.0000e+00
1.0372e-01 1.7046e-02 5.7096e-04 4.3562e-03 5.3992e-04 6.9417e-05 2.7950e-05 5.8215e-05 2.3438e-05 -2.4240e-03 6.1793e-04 3.5526e-03 1.0429e-01 1.0000e+00
1.0497e-01 1.5270e-02 5.6992e-04 -2.2134e-04 5.6209e-04 1.9450e-04 5.4201e-05 2.0135e-04 5.6126e-05 1.3295e-03 6.2739e-04 3.4228e-03 1.0556e-01 1.0000e+00
1.0622e-01 1.5377e-02 5.2898e-04 3.2757e-03 5.8258e-04 8.3648e-05 3.9521e-05 8.7518e-05 4.1358e-05 9.6762e-04 6.4483e-04 3.4805e-03 1.0683e-01 1.0000e+00
1.0747e-01 1.2022e-02 5.5089e-04 2.8761e-03 5.1823e-04 2.5227e-05 2.0461e-05 3.5853e-05 2.9085e-05 2.6006e-03 5.8895e-04 3.4132e-03 1.0810e-01 1.0000e+00
1.0873e-01 1.8314e-02 5.3169e-04 3.6476e-03 5.4730e-04 1.5089e-05 1.3565e-05 1.5546e-05 1.3976e-05 4.5973e-03 6.1089e-04 3.3808e-03 1.0942e-01 1.0000e+00
1.0998e-01 1.4620e-02 5.5825e-04 8.5435e-03 5.4960e-04 3.4912e-06 7.8804e-06 3.7398e-06 8.4417e-06 4.0866e-03 6.0712e-04 3.5681e-03 1.1062e-01 1.0000e+00
1.1123e-01 1.5264e-02 5.4513e-04 5.5061e-03 5.0204e-04 5.9323e-05 2.7625e-05 3.8957e-05 1.8139e-05 3.5890e-03 5.6937e-04 3.3610e-03 1.1184e-01 1.0000e+00
1.1248e-01 1.4880e-02 5.3017e-04 4.5409e-03 5.2478e-04 1.3087e-05 1.4214e-05 1.3211e-05 1.4348e-05 2.4472e-03 5.8757e-04 3.5079e-03 1.1311e-01 1.0000e+00
1.1374e-01 1.3485e-02 5.4186e-04 6.0297e-04 5.5313e-04 1.2543e-05 1.5066e-05 9.4706e-06 1.1375e-05 2.2045e-03 6.1311e-04 3.3620e-03 1.1426e-01 1.0000e+00
1.1499e-01 1.5793e-02 5.2427e-04 5.9690e-04 5.2314e-04 3.6299e-05 2.0668e-05 5.1185e-05 2.9149e-05 5.1327e-03 5.8166e-04 3.2428e-03 1.1561e-01 1.0000e+00
1.1624e-01 1.3691e-02 5.4977e-04 2.3801e-03 5.3196e-04 3.8111e-05 2.5508e-05 4.5972e-05 3.0773e-05 4.3846e-03 5.8931e-04 3.4513e-03 1.1688e-01 1.0000e+00
1.1749e-01 1.2145e-02 5.3157e-04 -2.5557e-04 5.6295e-04 2.6696e-06 6.7108e-06 2.3340e-06 5.8674e-06 1.4604e-03 6.2168e-04 3.2826e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.3838e-02 5.0878e-04 1.9560e-03 4.9646e-04 3.8964e-07 2.2185e-06 7.5455e-07 4.2963e-06 3.9487e-03 5.5837e-04 3.2736e-03 1.1941e-01 1.0000e+00
1.2000e-01 1.4110e-02 4.9299e-04 4.4525e-03 5.2716e-04 1.1296e-04 4.4156e-05 3.1666e-04 1.2424e-04 -7.6080e-04 5.8854e-04 3.4762e-03 1.2058e-01 1.0000e+00
