Q 0.06V_300.0K Unc 0.187V_300.0K Unc 7.4V_300.0K Unc CoFe2O4NPs3V_0.071V_300.0K Unc 0.0V_300.0K Unc 
7.3651e-02 2.1968e-01 2.0542e-03 2.2088e-01 2.0125e-03 2.2955e-01 1.7886e-03 2.2640e-01 2.0607e-03 2.1903e-01 1.8459e-03
7.4903e-02 1.8321e-01 1.6809e-03 2.0130e-01 1.6903e-03 2.0304e-01 1.5566e-03 1.9814e-01 1.6688e-03 1.8641e-01 1.5832e-03
7.6156e-02 1.7655e-01 1.9082e-03 1.7515e-01 1.8649e-03 1.6918e-01 1.6632e-03 1.6909e-01 1.8491e-03 1.6306e-01 1.7197e-03
7.7409e-02 1.4221e-01 1.6190e-03 1.4009e-01 1.5859e-03 1.4632e-01 1.4681e-03 1.4624e-01 1.6044e-03 1.4106e-01 1.5094e-03
7.8661e-02 1.1850e-01 1.5481e-03 1.1532e-01 1.5145e-03 1.1907e-01 1.4026e-03 1.1538e-01 1.5195e-03 1.2023e-01 1.4536e-03
7.9914e-02 8.6007e-02 1.6298e-03 8.7373e-02 1.6073e-03 8.9478e-02 1.4622e-03 8.5348e-02 1.6077e-03 8.9456e-02 1.5179e-03
8.1167e-02 6.7317e-02 1.4417e-03 7.4217e-02 1.4412e-03 7.7832e-02 1.3657e-03 8.6255e-02 1.4868e-03 7.0622e-02 1.3879e-03
8.2419e-02 8.3239e-02 1.4877e-03 7.4681e-02 1.4311e-03 7.2524e-02 1.3056e-03 7.9132e-02 1.4229e-03 7.4540e-02 1.3626e-03
8.3672e-02 5.7691e-02 1.3383e-03 5.2895e-02 1.3096e-03 5.6403e-02 1.2414e-03 6.3276e-02 1.3535e-03 5.3517e-02 1.2677e-03
8.4925e-02 5.6176e-02 1.2725e-03 5.2777e-02 1.2447e-03 5.3364e-02 1.1653e-03 5.5493e-02 1.2752e-03 5.5505e-02 1.2054e-03
8.6177e-02 4.1110e-02 1.2320e-03 4.3023e-02 1.2234e-03 4.8703e-02 1.1651e-03 4.9147e-02 1.2663e-03 4.1586e-02 1.1750e-03
8.7430e-02 4.3026e-02 1.1535e-03 4.0914e-02 1.1350e-03 4.7601e-02 1.0817e-03 4.9032e-02 1.1619e-03 3.9388e-02 1.0855e-03
8.8683e-02 3.0663e-02 1.2215e-03 3.2255e-02 1.2122e-03 3.5874e-02 1.1506e-03 3.2141e-02 1.1904e-03 3.4126e-02 1.1849e-03
8.9935e-02 3.0607e-02 1.1826e-03 2.3664e-02 1.1524e-03 2.2076e-02 1.0981e-03 2.9925e-02 1.1918e-03 2.1047e-02 1.1220e-03
9.1188e-02 1.7480e-02 1.2199e-03 1.2169e-02 1.1911e-03 1.0205e-02 1.1271e-03 1.1862e-02 1.2183e-03 1.2110e-02 1.1597e-03
9.2441e-02 1.4248e-02 1.1822e-03 1.7272e-02 1.1812e-03 2.2399e-02 1.1376e-03 1.8970e-02 1.2000e-03 1.5435e-02 1.1428e-03
9.3694e-02 2.3000e-02 1.1510e-03 2.0365e-02 1.1329e-03 2.1453e-02 1.0778e-03 2.5272e-02 1.1357e-03 2.1809e-02 1.1027e-03
9.4946e-02 4.4728e-03 1.1653e-03 6.0531e-03 1.1595e-03 6.6018e-03 1.1073e-03 1.1523e-02 1.2115e-03 7.9589e-03 1.1396e-03
9.6199e-02 1.5704e-02 1.1164e-03 1.6538e-02 1.1095e-03 1.9445e-02 1.0684e-03 1.9961e-02 1.1341e-03 1.6989e-02 1.0846e-03
9.7452e-02 2.3101e-02 1.1350e-03 2.1227e-02 1.1162e-03 2.2412e-02 1.0589e-03 2.7523e-02 1.1360e-03 2.1324e-02 1.0832e-03
9.8704e-02 1.7664e-02 1.1302e-03 1.7841e-02 1.1208e-03 1.4427e-02 1.0592e-03 1.7516e-02 1.1423e-03 1.4356e-02 1.0802e-03
9.9957e-02 1.6979e-02 1.1048e-03 1.3672e-02 1.0854e-03 1.1568e-02 1.0303e-03 1.8818e-02 1.1059e-03 1.6649e-02 1.0710e-03
1.0121e-01 1.4013e-02 1.1618e-03 1.0867e-02 1.1369e-03 1.8311e-02 1.0907e-03 1.5239e-02 1.1495e-03 1.4704e-02 1.1136e-03
1.0246e-01 2.1585e-02 1.0933e-03 2.0558e-02 1.0856e-03 1.8696e-02 1.0308e-03 2.8238e-02 1.1205e-03 2.2351e-02 1.0593e-03
1.0372e-01 2.5735e-02 1.1130e-03 2.7274e-02 1.0982e-03 2.7196e-02 1.0397e-03 3.4092e-02 1.1419e-03 2.6018e-02 1.0667e-03
1.0497e-01 2.4470e-02 1.1127e-03 2.2690e-02 1.0976e-03 2.2457e-02 1.0445e-03 3.0540e-02 1.1398e-03 1.9523e-02 1.0616e-03
