Q, M_Parl_NSF, DelM_Parl_NSF, Q_Unc, Q_mean, Shadow
7.6156e-02 2.4822e-03 1.1791e-04 4.0405e-03 7.6841e-02 1.0000e+00
7.7409e-02 3.7552e-03 1.8791e-04 4.0974e-03 7.7988e-02 1.0000e+00
7.8661e-02 2.3655e-03 1.2940e-04 3.8681e-03 7.9256e-02 1.0000e+00
7.9914e-02 2.0308e-03 1.2774e-04 3.8524e-03 8.0554e-02 1.0000e+00
8.1167e-02 1.5224e-03 1.3212e-04 3.9528e-03 8.1801e-02 1.0000e+00
8.2419e-02 6.4585e-04 6.9553e-05 3.9195e-03 8.3032e-02 1.0000e+00
8.3672e-02 2.0574e-03 1.4464e-04 3.7028e-03 8.4312e-02 1.0000e+00
8.4925e-02 5.6013e-04 8.2353e-05 3.9721e-03 8.5562e-02 1.0000e+00
8.6177e-02 5.4098e-04 6.7217e-05 3.8080e-03 8.6743e-02 1.0000e+00
8.7430e-02 4.0151e-04 6.2552e-05 3.6218e-03 8.8088e-02 1.0000e+00
8.8683e-02 5.7330e-04 9.3361e-05 3.8889e-03 8.9304e-02 1.0000e+00
8.9935e-02 9.9725e-05 4.1571e-05 3.6636e-03 9.0563e-02 1.0000e+00
9.1188e-02 2.1642e-03 3.3499e-04 3.7205e-03 9.1860e-02 1.0000e+00
9.2441e-02 6.3339e-05 3.6747e-05 3.8266e-03 9.2991e-02 1.0000e+00
9.3694e-02 3.4203e-04 7.5266e-05 3.5726e-03 9.4306e-02 1.0000e+00
9.4946e-02 2.8759e-06 1.4166e-05 3.8275e-03 9.5497e-02 1.0000e+00
9.6199e-02 4.4924e-05 3.0259e-05 3.4299e-03 9.6762e-02 1.0000e+00
9.7452e-02 5.4786e-04 9.4332e-05 3.6537e-03 9.8120e-02 1.0000e+00
9.8704e-02 3.4748e-04 9.9236e-05 3.5620e-03 9.9305e-02 1.0000e+00
9.9957e-02 5.6250e-04 1.3314e-04 3.4661e-03 1.0064e-01 1.0000e+00
1.0121e-01 3.1770e-04 7.9317e-05 3.8156e-03 1.0185e-01 1.0000e+00
1.0246e-01 1.0378e-03 1.6120e-04 3.3882e-03 1.0304e-01 1.0000e+00
1.0372e-01 2.9250e-04 5.8961e-05 3.5907e-03 1.0434e-01 1.0000e+00
1.0497e-01 5.2776e-04 9.5745e-05 3.4454e-03 1.0558e-01 1.0000e+00
1.0622e-01 4.4438e-05 2.4824e-05 3.4345e-03 1.0686e-01 1.0000e+00
1.0747e-01 5.0664e-04 9.1706e-05 3.5054e-03 1.0812e-01 1.0000e+00
1.0873e-01 8.1378e-06 9.5574e-06 3.4246e-03 1.0938e-01 1.0000e+00
1.0998e-01 2.7190e-04 6.4561e-05 3.4828e-03 1.1058e-01 1.0000e+00
1.1123e-01 9.2684e-04 1.1038e-04 3.3716e-03 1.1184e-01 1.0000e+00
1.1248e-01 3.7313e-04 6.7350e-05 3.5197e-03 1.1310e-01 1.0000e+00
1.1374e-01 1.9455e-04 5.0773e-05 3.3207e-03 1.1426e-01 1.0000e+00
1.1499e-01 1.2681e-04 3.4546e-05 3.2333e-03 1.1564e-01 1.0000e+00
1.1624e-01 6.3378e-04 9.6430e-05 3.5587e-03 1.1687e-01 1.0000e+00
1.1749e-01 1.3333e-03 1.3315e-04 3.1887e-03 1.1807e-01 1.0000e+00
1.1875e-01 4.4700e-04 7.8642e-05 3.2933e-03 1.1944e-01 1.0000e+00
1.2000e-01 5.1106e-04 8.8022e-05 3.4763e-03 1.2058e-01 1.0000e+00
