Q, Struc, DelStruc, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
1.0246e-01 8.0232e-03 1.4329e-03 3.2439e-03 2.2508e-03 3.3991e-03 1.0304e-01 1.0000e+00
1.0372e-01 9.7998e-03 1.3113e-03 1.0368e-03 2.0959e-03 3.5778e-03 1.0434e-01 1.0000e+00
1.0497e-01 1.0310e-02 1.3290e-03 2.2011e-03 2.1647e-03 3.4454e-03 1.0559e-01 1.0000e+00
1.0622e-01 1.1395e-02 1.3486e-03 -6.7265e-04 2.3029e-03 3.4459e-03 1.0686e-01 1.0000e+00
1.0747e-01 8.5024e-03 1.3483e-03 4.5595e-03 2.0559e-03 3.4935e-03 1.0812e-01 1.0000e+00
1.0873e-01 1.3351e-02 1.3213e-03 -4.1850e-04 2.1706e-03 3.4246e-03 1.0938e-01 1.0000e+00
1.0998e-01 1.1393e-02 1.3209e-03 2.9255e-03 2.1886e-03 3.4828e-03 1.1059e-01 1.0000e+00
1.1123e-01 1.1431e-02 1.3850e-03 9.3623e-04 2.0978e-03 3.3716e-03 1.1185e-01 1.0000e+00
1.1248e-01 1.1389e-02 1.3436e-03 2.8157e-03 2.1860e-03 3.5197e-03 1.1310e-01 1.0000e+00
1.1374e-01 1.1154e-02 1.3592e-03 3.3156e-04 2.2723e-03 3.3207e-03 1.1427e-01 1.0000e+00
1.1499e-01 1.3659e-02 1.2708e-03 1.3286e-03 2.0123e-03 3.2428e-03 1.1564e-01 1.0000e+00
1.1624e-01 9.4988e-03 1.3737e-03 5.4057e-03 2.2716e-03 3.5587e-03 1.1686e-01 1.0000e+00
1.1749e-01 1.3239e-02 1.2854e-03 2.2149e-03 2.0630e-03 3.1887e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.2651e-02 1.2205e-03 -1.5531e-03 1.9993e-03 3.2834e-03 1.1944e-01 1.0000e+00
1.2000e-01 1.0743e-02 1.2809e-03 1.7318e-03 2.1764e-03 3.4881e-03 1.2058e-01 1.0000e+00
